==AiData:256,5,DV=4,RV=1
0.1427,9.4666,2.9171,8.0057,0.4813
8.5745,3.3879,1.5522,9.91,25.7133
1.5802,9.3725,7.7727,2.5812,0.0328
2.8343,6.9325,2.3734,3.8576,1.4022
8.6639,6.5047,1.1188,8.3179,72.8024
0.1464,7.174,5.146,6.3429,0.0733
1.598,7.4124,4.2802,9.4219,0.1596
6.2963,8.5379,9.174,8.2039,0.0867
0.0762,4.4448,1.842,0.2013,0.8996
7.1856,8.6887,5.7493,1.6864,0.3983
9.8452,1.1255,1.3144,7.3566,53.9762
4.3361,1.6559,1.8101,8.8701,4.3126
0.2044,6.7434,1.537,9.2456,2.3414
8.8071,3.1826,5.4916,3.4691,0.6189
1.1581,7.4832,5.185,2.6966,0.08
5.4,6.4155,7.9163,6.4779,0.0914
9.5292,4.3963,5.6388,2.4088,0.6654
0.5953,3.9162,4.8716,2.669,0.0518
6.6754,5.1656,1.7218,4.2371,12.1803
4.1638,4.4453,4.3826,6.7154,0.3276
4.6374,7.5612,8.5568,7.3402,0.0604
6.4314,3.1747,7.2076,2.8381,0.1489
5.7229,3.3573,7.1287,1.9009,0.132
6.3931,0.0493,7.6102,3.49,0.1202
0.8137,2.8936,2.2284,4.5255,0.403
0.8787,6.0664,7.0036,8.8083,0.0314
7.1993,8.053,6.3862,3.1278,0.2959
7.4071,9.4012,3.8549,2.5226,1.4026
5.6194,5.8144,9.3316,2.7236,0.0642
3.8421,5.6979,5.2,9.8207,0.1828
1.5578,1.3415,6.5469,3.725,0.0232
2.1145,7.5989,8.8779,1.4728,0.0241
5.8007,9.4276,9.7494,0.6627,0.0642
1.7226,0.8198,6.7783,4.4221,0.017
6.978,1.6368,4.767,2.4012,0.5877
7.0908,5.9249,8.6208,5.1933,0.118
2.3714,4.3073,1.3792,0.4648,4.733
1.7844,9.5372,8.6873,6.9735,0.0309
5.8197,5.3259,3.4183,0.6994,1.2304
7.6646,4.1555,5.1257,7.2031,0.5933
1.2127,5.8728,8.8826,0.7677,0.0214
8.9533,5.1782,8.5611,8.1133,0.1783
9.9548,2.8006,7.1231,2.5497,0.3604
5.4835,5.2618,4.4181,0.9761,0.5195
9.0345,8.5696,6.4682,0.0131,0.4218
6.766,2.9143,7.1961,4.0193,0.1696
6.069,4.3432,9.0579,0.16,0.0791
4.5261,2.3478,5.5709,7.1382,0.1742
7.0418,8.5769,3.3003,2.8692,2.029
6.6884,8.2267,10.2575,1.8133,0.069
4.5289,3.8342,6.3674,5.4627,0.1254
6.0311,0.1688,2.6691,5.1654,2.4071
7.1502,9.2583,2.6303,5.2569,4.1557
2.5217,0.8119,7.1822,0.9524,0.0327
7.9063,0.7515,7.0344,8.8378,0.23
5.3103,6.0722,3.8941,0.6783,0.729
8.093,6.0758,8.2402,5.9487,0.1695
9.1148,0.0203,7.7478,2.9496,0.2305
7.7551,3.429,3.0478,9.329,2.8106
5.9155,7.7079,4.4449,1.9259,0.6132
1.2661,0.1854,4.2965,5.2075,0.0361
7.1032,0.4226,9.2769,4.2692,0.0822
0.7339,9.0437,7.2137,3.0738,0.0413
9.1281,7.3482,2.517,1.5525,7.1171
8.6516,2.4331,7.2047,3.4366,0.2626
7.8906,8.5955,9.9447,9.7389,0.0961
7.6677,8.2999,3.4527,9.1642,2.0476
9.2383,5.1638,10.0557,2.2417,0.1126
7.6662,1.9701,10.5594,5.3072,0.0673
5.5944,4.7234,6.1582,6.3237,0.1976
1.643,5.2803,2.9267,4.6588,0.4022
7.5861,6.2987,2.5044,7.331,5.0866
0.2766,6.2056,6.7852,7.3333,0.0308
5.1725,5.107,4.4775,9.6049,0.4517
3.7299,5.4306,10.841,2.9631,0.0231
0.829,9.0869,4.2653,9.9908,0.1597
6.2264,1.3164,1.5593,9.3632,13.2235
8.4505,4.1747,1.0463,7.8078,82.4953
7.4249,7.1487,1.2622,2.2984,38.7241
1.4079,4.2561,9.0918,7.0617,0.0128
2.7184,5.0324,9.6116,2.9551,0.0189
2.2682,7.0895,4.0006,0.7217,0.2472
5.408,4.9454,9.7984,3.4769,0.0548
0.679,7.4614,7.1312,6.1439,0.0337
5.3951,5.915,2.9961,2.1064,1.6329
5.4635,6.5449,6.8254,3.3569,0.151
4.7081,4.6464,6.4846,8.7025,0.1318
7.6799,9.9922,2.8372,7.0318,3.7831
7.9622,5.8501,5.4259,4.3055,0.5497
3.9137,9.8446,3.1269,6.6813,1.0365
8.8704,3.6045,3.7168,5.6156,2.0133
9,4.998,10.4692,1.0888,0.096
0.2984,4.971,8.7665,2.3745,0.0178
5.3517,4.859,5.7895,0.2806,0.2246
8.2196,1.3895,6.5777,3.3006,0.3066
7.7224,9.0738,6.3992,4.6546,0.3283
7.3953,0.7329,10.2817,0.0713,0.0642
8.176,5.9522,5.9865,4.2868,0.4249
1.8121,8.926,5.4007,9.4754,0.1036
1.9076,1.5523,9.9435,5.0797,0.0075
3.9708,5.3561,1.7249,6.9209,5.1483
0.9746,3.4735,10.0133,0.4175,0.0064
7.1721,6.5468,2.9118,0.5812,2.9386
5.586,6.3433,6.9387,0.4811,0.1466
2.1007,8.357,3.8689,0.2435,0.2827
1.9797,2.9074,4.4105,4.4704,0.1006
6.4038,3.9313,10.7971,8.9911,0.045
7.7299,3.6673,2.7811,6.8114,3.6936
1.7107,3.386,2.5708,4.8484,0.4665
0.173,2.2751,2.3485,5.1165,0.2288
9.7754,7.3977,3.037,4.0569,4.5961
7.1723,1.524,4.1467,8.3372,0.9295
6.2746,1.0905,4.962,3.3635,0.4175
2.2601,8.8822,6.7392,6.3362,0.0584
0.3662,2.5165,5.8515,6.213,0.0193
3.9413,9.2418,1.1125,0.1184,22.5031
8.5604,2.2226,6.8602,2.6675,0.2946
2.2332,9.0053,8.0452,3.3415,0.0374
5.8733,2.5164,6.6013,5.8544,0.162
9.9803,7.9507,3.8964,3.5846,2.2746
3.7697,7.7086,4.9951,4.3945,0.2236
2.74,6.6122,7.2558,4.3282,0.0549
6.169,5.4484,6.4875,1.21,0.2057
4.7207,5.3229,10.9355,8.7992,0.03
9.9125,4.9016,10.1425,9.9801,0.1242
9.9778,9.7091,6.9971,2.9024,0.4025
7.705,5.5801,4.3935,1.9287,0.9582
3.4774,4.4251,7.5204,9.5083,0.0567
7.7631,1.733,9.7606,3.2169,0.0851
6.3324,5.4082,6.2455,8.5237,0.2404
8.3553,6.9856,1.7133,7.5963,19.0891
9.1354,9.0246,6.7057,9.5655,0.3884
5.2392,2.9846,1.2218,5.7882,20.8627
7.4795,7.3099,6.6137,4.8105,0.2746
8.7924,9.8029,10.5108,2.9038,0.0983
0.0955,0.1962,6.7135,1.8279,0.0057
3.549,5.3971,9.2339,3.75,0.0358
3.1677,1.2932,10.6782,8.0504,0.0146
8.9909,2.1247,9.8515,3.6841,0.1144
9.9496,1.57,1.5513,3.1164,33.6777
4.9489,0.8366,3.5444,5.4275,0.7201
3.4019,8.3081,5.3156,0.7586,0.1681
0.9512,2.9941,7.6526,0.537,0.0132
6.852,3.0662,4.0597,1.3344,0.9396
4.4571,9.2356,5.5222,3.6979,0.2207
4.246,5.2638,5.5179,7.6302,0.1833
1.2383,4.4713,7.8946,9.2606,0.0249
3.0579,5.4599,3.1126,3.3378,0.6194
0.3657,5.5284,4.7095,8.1256,0.0764
9.9635,7.6059,6.6557,3.727,0.462
9.428,3.242,5.5374,9.8087,0.6792
7.5959,0.6201,9.1846,4.6518,0.0989
0.8952,7.2994,8.9388,4.9205,0.0189
0.7144,9.6773,5.6559,7.2467,0.076
1.0559,4.7359,3.9858,7.9909,0.1223
7.5442,4.7655,5.0074,4.6262,0.62
