==AiData:256,5,DV=4,RV=1
4.5476,0.2824,10.7926,0.5598,0.0219
5.8097,9.4583,2.8377,3.3063,8.5351
7.4122,2.0569,6.1939,1.5713,0.5018
3.5306,9.5796,2.4673,8.7697,6.9503
4.9385,9.9431,3.2414,1.6054,5.85
7.7582,8.0087,7.2362,1.5674,1.4915
0.1649,3.3361,3.3612,7.232,0.0632
3.7743,6.3919,3.7469,7.4997,2.1498
7.7955,5.7909,10.4414,8.1439,0.5244
3.0801,6.5951,7.8163,1.5266,0.4231
3.4582,9.0304,9.4463,3.0991,0.4432
5.5097,0.159,6.1872,8.4954,0.0333
0.267,6.7497,10.4184,4.8329,0.0295
7.1534,0.7088,2.5398,3.0198,0.9923
7.0355,3.7134,4.1022,8.8608,1.949
4.6068,0.6482,8.2111,9.309,0.0616
5.5102,0.7313,10.8635,8.2897,0.0476
5.9937,3.1303,6.323,3.1939,0.588
0.3676,7.9801,4.0017,3.8748,0.2334
7.1895,0.1852,7.4811,5.9157,0.032
8.5787,3.4505,10.085,6.2244,0.366
3.3215,6.1409,6.4679,5.5397,0.6115
2.2183,0.6455,5.708,0.8956,0.0599
1.571,5.207,8.0341,5.2662,0.1671
4.0001,5.6879,10.1956,7.7538,0.2801
7.1702,1.4389,6.6196,1.5507,0.2974
5.882,9.313,10.3906,9.0308,0.6434
0.9023,1.3779,5.2401,6.9515,0.0615
1.1368,9.4681,4.8811,6.6162,0.5653
9.0044,2.6046,3.4668,6.1041,2.4428
7.4408,6.031,3.9814,3.8938,3.5413
5.7519,8.3644,9.0506,6.3227,0.7372
5.924,6.1236,6.5917,1.5058,1.0512
0.8164,7.4585,2.906,0.155,0.9044
6.8815,7.2549,8.8632,5.4236,0.7968
8.3364,2.862,8.5075,3.9087,0.4218
0.0772,1.711,10.5015,0.2436,0.0053
8.1701,0.1552,4.8874,6.8395,0.0682
4.4188,9.8359,5.6855,6.3383,1.6878
2.6197,0.9679,2.98,8.4774,0.363
1.3658,7.7509,5.0791,7.0065,0.5199
9.6606,5.3574,8.6601,9.5796,0.8629
6.866,7.253,6.4012,6.6928,1.525
7.0009,3.4923,8.0995,3.5831,0.4701
1.0441,7.7572,1.6136,4.3307,3.896
5.7591,9.3344,2.6381,3.2836,9.6603
1.3996,2.808,2.1175,2.5085,1.1043
8.8076,0.304,6.8595,9.9437,0.0752
7.0338,2.5279,7.5388,4.1098,0.3972
2.5107,5.3273,5.6025,2.2362,0.5383
6.5595,9.003,1.8548,8.9442,21.4658
2.3159,2.3022,8.8515,8.4918,0.0878
3.9529,9.6629,10.9007,4.3054,0.4106
8.0552,3.026,8.4617,0.772,0.4271
2.8296,4.8167,10.8082,0.9764,0.1509
4.5136,2.1094,3.103,1.4434,1.24
3.5841,5.2798,5.8107,0.59,0.7075
2.4379,4.5015,8.2864,5.3249,0.2073
7.6418,5.1017,9.2041,7.0586,0.5774
5.3269,7.0783,2.4892,1.228,7.6149
1.8759,8.396,1.2296,4.6393,13.0216
3.6815,1.4362,8.8383,8.95,0.0919
2.1478,8.818,5.3463,3.7276,0.8344
1.5283,0.7077,10.1844,9.6238,0.0134
1.0709,0.9445,7.9246,3.2945,0.0272
5.5853,0.9979,4.3126,1.9081,0.3809
9.6028,5.3243,8.9458,1.6256,0.8065
6.045,1.0594,1.1245,1.9417,6.3388
8.0548,8.8947,10.9442,5.3122,0.7523
5.222,0.199,5.5118,4.4096,0.0468
7.7033,0.4442,3.327,5.9077,0.3899
6.8869,7.2715,3.9467,3.6014,4.0271
2.5199,2.444,7.455,4.9208,0.1426
0.6014,1.0867,10.1693,0.1098,0.0091
9.7241,6.5266,7.6051,6.5019,1.3735
2.4115,7.7608,1.3771,8.945,12.3382
1.0369,5.7513,2.2826,3.9024,1.4309
1.4672,1.6066,1.6431,1.4505,1.0971
1.7984,3.2189,2.4273,6.1929,1.2303
2.1468,6.2086,9.5349,4.6292,0.1851
5.628,9.1803,6.0021,6.419,1.8003
8.6989,9.4837,2.6967,0.44,14.1868
6.1835,8.1724,5.3726,6.995,2.1908
4.888,3.9234,9.1199,2.4428,0.2927
7.937,9.5205,2.9208,3.3011,11.0766
0.2852,8.9651,3.5869,0.9676,0.2509
2.8568,9.397,4.604,7.7866,1.5881
8.2898,9.6742,3.9551,8.8904,6.4158
2.5872,6.1566,8.7971,5.0189,0.2663
4.3382,2.7679,6.177,1.2437,0.4011
4.2859,3.4861,1.8655,8.6719,5.3716
6.6708,0.5883,4.8505,1.3883,0.2105
5.8242,3.6531,10.6402,5.0526,0.2432
2.1182,4.075,8.2942,7.4621,0.1625
0.7162,6.4289,8.419,0.0403,0.0829
6.2496,0.2074,9.2582,3.4156,0.0231
8.0341,3.7236,3.4326,7.8829,3.1738
6.5359,5.9248,5.0495,2.2752,1.9009
5.8191,6.2295,10.0146,6.7923,0.4602
9.5313,2.2955,9.6873,3.4632,0.2952
1.2335,2.0546,1.121,8.3189,2.5225
4.1032,7.8363,6.3397,4.1787,1.0031
5.0465,9.0511,9.4877,0.6995,0.6435
3.0637,1.4928,6.3478,5.1264,0.1507
5.1237,7.9501,1.7181,1.3828,17.2594
0.7986,2.0143,2.2499,6.3973,0.4026
1.5334,3.1048,8.0763,6.368,0.098
5.2805,4.4085,1.9906,8.1832,7.3495
7.8027,7.2688,8.8597,4.4697,0.9083
4.8184,3.9793,10.5742,6.3669,0.2206
6.8929,7.0006,9.0537,8.775,0.7424
3.6515,7.2474,9.4146,3.003,0.3795
9.7293,1.6197,4.6605,6.0023,0.9138
1.6811,4.9635,3.1757,9.4057,1.044
6.748,1.7812,9.7687,2.8454,0.159
2.8588,8.5633,4.6084,3.1288,1.444
2.0337,9.2867,1.2124,7.2972,16.0632
9.6539,5.9199,10.4017,2.6683,0.6666
3.3434,8.3548,10.6878,8.0389,0.3079
8.2159,8.2324,10.9946,3.3773,0.7059
2.766,5.8511,10.5695,6.8644,0.1866
5.9704,5.4848,5.2756,7.9777,1.4767
0.0809,4.548,2.5338,3.4151,0.0802
1.051,6.2426,2.7478,3.3004,1.0914
7.1797,4.9793,5.5627,8.8559,1.4461
6.8082,6.7404,1.6819,4.6274,20.28
5.3223,8.4965,5.1124,1.1461,2.1674
5.271,7.3896,7.6524,8.351,0.8379
0.6404,2.3452,6.2884,9.8839,0.0512
6.4943,0.1189,3.2647,5.7473,0.0932
5.3044,7.5916,3.9241,8.945,3.2766
6.8263,0.4755,2.471,3.5989,0.6739
5.2567,8.157,9.6146,0.9274,0.5862
3.9091,2.2943,2.2576,4.3292,2.2083
8.5078,4.7035,3.1506,4.3795,5.0455
0.2946,3.1033,6.2906,7.3382,0.0365
3.8245,6.2554,1.5489,3.5444,12.4683
6.5547,3.4026,9.9641,7.5034,0.2878
6.3259,5.8975,6.1142,6.5387,1.253
9.3027,5.6609,9.8166,4.4314,0.6923
7.1801,0.2529,4.8105,2.1105,0.1045
5.2597,7.4375,3.107,0.1606,5.071
7.3751,6.3637,6.8002,3.0221,1.2783
0.0051,0.5873,1.0826,1.7337,0.0128
3.5552,9.6838,6.4521,6.3008,1.0387
4.9862,3.1621,2.7658,1.5147,2.5834
5.293,3.7783,8.5378,2.7197,0.3446
9.3373,5.5174,10.5451,0.4411,0.5859
1.0269,1.6312,2.874,0.5356,0.2538
9.7098,5.3833,5.1208,0.697,2.4974
2.3645,0.8149,8.4334,7.3523,0.0424
2.2642,1.396,1.0316,2.7058,3.7217
6.6583,5.8026,2.0741,9.6068,11.2343
1.8402,8.9304,5.7225,9.9789,0.6305
3.8241,1.0256,8.6491,7.2394,0.0725
4.7407,9.1572,10.5108,2.3634,0.4944
8.4216,3.521,5.4785,2.2052,1.2412
9.1517,0.183,1.5051,6.7142,0.9314
0.174,4.8094,8.1207,9.2654,0.0159
1.6041,1.0616,8.1541,2.1145,0.0363
8.498,3.6003,4.1958,6.5669,2.1801
4.6926,3.4911,7.2628,7.5965,0.3902
7.3642,4.6875,10.8095,7.5111,0.3761
1.1173,5.2855,6.657,2.0059,0.1695
9.0487,0.575,7.0391,4.9578,0.1335
7.6413,2.3316,5.8082,1.3248,0.6623
7.1777,1.6041,9.0802,9.5199,0.1758
0.38,4.8557,6.2885,6.554,0.0634
4.0506,3.252,10.159,6.2141,0.1612
5.5785,7.5454,3.5304,8.2705,4.2302
